category,name,brand,price,stock,description,attributes
gpu,"GeForce RTX 4090","MSI",1799.99,in stock,"The ultimate gaming GPU for 4K and beyond.","gpu_brand:Nvidia;vram:24GB;"
gpu,"GeForce RTX 4070 Ti","Asus",799.99,in stock,"Powerful GPU for high-refresh-rate 1440p gaming.","gpu_brand:Nvidia;vram:12GB;"
gpu,"GeForce RTX 4060","Gigabyte",299.99,in stock,"Great value for 1080p gaming with DLSS 3.","gpu_brand:Nvidia;vram:8GB;"
gpu,"Radeon RX 7900 XTX","Gigabyte",949.99,in stock,"AMD's flagship GPU, a strong competitor to the RTX 4080.","gpu_brand:AMD;vram:24GB;"
gpu,"Radeon RX 7800 XT","Asus",499.99,out of stock,"Excellent value AMD card for high-refresh 1440p.","gpu_brand:AMD;vram:16GB;"
gpu,"Radeon RX 7600","MSI",269.99,in stock,"Solid 1080p gaming performance from AMD.","gpu_brand:AMD;vram:8GB;"
motherboard,"MAG B650 Tomahawk WIFI","MSI",219.99,in stock,"Solid motherboard for AMD Ryzen 7000 series CPUs.","socket:AMD;"
motherboard,"ROG Strix Z790-E Gaming","Asus",499.99,in stock,"High-end motherboard for Intel 12th/13th/14th gen CPUs with DDR5 support.","socket:Intel;"
motherboard,"B760 AORUS Elite AX","Gigabyte",169.99,in stock,"Great value Intel motherboard with DDR5 and WIFI.","socket:Intel;"
motherboard,"MPG X670E Carbon WIFI","MSI",479.99,out of stock,"Premium AMD motherboard for enthusiasts.","socket:AMD;"
psu,"Focus GX-850","Seasonic",159.99,in stock,"850W Gold rated, fully modular power supply.","wattage:850W;"
psu,"Core Reactor 850W","ADATA",129.99,in stock,"Reliable 850W Gold power supply.","wattage:850W;"
psu,"DA450 Gold","SilverStone",99.99,in stock,"Compact 450W Gold SFX power supply for small builds.","wattage:450W;"
psu,"Prime TX-1000","Seasonic",319.99,in stock,"1000W Titanium rated PSU for high-end systems.","wattage:1000W;"
ram,"Fury Beast 16GB DDR4","Kingston",44.99,in stock,"16GB (2x8GB) DDR4 3200MHz RAM kit.","type:DDR4;capacity:16GB;"
ram,"Vengeance 32GB DDR5","Corsair",99.99,in stock,"32GB (2x16GB) DDR5 5600MHz RAM kit.","type:DDR5;capacity:32GB;"
ram,"Lancer 32GB DDR5 RGB","ADATA",109.99,in stock,"32GB (2x16GB) DDR5 6000MHz RAM kit with RGB lighting.","type:DDR5;capacity:32GB;"
ram,"Ripjaws S5 64GB DDR5","G.Skill",189.99,in stock,"64GB (2x32GB) DDR5 5600MHz high capacity kit.","type:DDR5;capacity:64GB;"
casing,"H5 Flow","NZXT",94.99,in stock,"Mid-tower case with excellent airflow and clean aesthetics.",""
casing,"4000D Airflow","Corsair",104.99,in stock,"A very popular mid-tower case known for great cooling.",""
casing,"P120 Crystal","Antec",119.99,out of stock,"Mid-tower case with tempered glass panels.",""
casing,"MPG Gungnir 110R","MSI",109.99,in stock,"MSI mid-tower with ARGB fans included.",""
monitor,"UltraSharp U2422H","Dell",359.99,in stock,"24-inch IPS monitor with great color accuracy for professionals.","screen_size:24\";"
monitor,"Nitro VG220Q","Acer",129.99,in stock,"22-inch 75Hz gaming monitor, great for budget builds.","screen_size:22\";"
monitor,"Odyssey G7 27-inch","Samsung",599.99,in stock,"27-inch 240Hz QHD curved gaming monitor.","screen_size:27\";"
monitor,"M27Q","Gigabyte",299.99,in stock,"27-inch 170Hz QHD IPS gaming monitor with a built-in KVM switch.","screen_size:27\";"
keyboard,"K270 Wireless Keyboard","Logitech",29.99,in stock,"Reliable wireless keyboard for office and home use.","connection:Wireless;"
mouse,"G203 Wired Mouse","Logitech",39.99,in stock,"Wired gaming mouse with RGB lighting.","connection:Wired;"
keyboard,"Huntsman Mini","Razer",119.99,in stock,"60% optical gaming keyboard for competitive players.","connection:Wired;"
mouse,"DeathAdder V3 Pro","Razer",149.99,out of stock,"Ultra-lightweight ergonomic wireless esports mouse.","connection:Wireless;"
speakers,"Z200 Stereo Speakers","Logitech",39.99,in stock,"Simple and clear stereo speakers for your desktop.",""
headphones,"BlackShark V2","Razer",99.99,in stock,"Wired esports headset with excellent audio and mic quality.","connection:Wired;"
headphones,"WH-1000XM5 Wireless Headphones","Sony",399.99,in stock,"Industry-leading noise-cancelling wireless headphones.","connection:Wireless;"
laptop,"MacBook Air M2","Apple",1199.00,in stock,"Powerful and portable laptop with Apple's M2 chip.",""
laptop,"ThinkPad X1 Carbon Gen 11","Lenovo",1450.00,in stock,"Ultra-light business laptop known for its keyboard and durability.",""
laptop,"Spectre x360 14","HP",1249.99,in stock,"Premium 2-in-1 convertible laptop with an OLED screen.",""
cable,"HDMI 2.1 Cable 1m","Generic",15.99,in stock,"High-speed HDMI cable for 4K 120Hz or 8K 60Hz.","length:1m;"
cable,"HDMI 2.1 Cable 2m","Generic",19.99,in stock,"High-speed HDMI cable for 4K 120Hz or 8K 60Hz.","length:2m;"
cable,"DisplayPort 1.4 Cable 2m","Generic",17.99,in stock,"DisplayPort cable for high-refresh-rate monitors.","length:2m;"
cable,"Power Cable 4m","Generic",14.99,in stock,"Extra long standard 3-pin power cord for PCs and monitors.","length:4m;"